time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752927167.6488,-105.99989038705826,12805.821016034573,12805.82142834558,12816.461750499811,15865.460891638904,"[[544, -1, -1], [545, -1, -1], [546, -1, -1], [547, -1, -1], [548, 1, 12988], [548, 1, 13043], [548, 1, 13219], [548, 1, 13392], [548, -1, -1], [549, -1, -1], [550, -1, -1], [551, -1, -1], [552, -1, -1], [553, -1, -1], [554, -1, -1]]"
1752927167.7618,-103.99989378452301,12805.821098108438,12805.82142834558,12816.461750499811,15865.460891638904,"[[555, -1, -1], [556, -1, -1], [557, -1, -1], [558, -1, -1], [559, -1, -1], [560, -1, -1], [561, -1, -1], [562, -1, -1], [563, -1, -1], [564, -1, -1], [565, -1, -1]]"
1752927167.8719,-101.99989718198776,12805.821098108438,12805.821419099615,12816.4617470919,15865.460891638904,"[[566, -1, -1], [567, -1, -1], [568, -1, -1], [569, -1, -1], [570, -1, -1], [571, -1, -1], [572, -1, -1], [573, -1, -1], [574, -1, -1], [575, -1, -1], [576, -1, -1]]"
1752927167.9818,-99.99990057945251,12805.821144457785,12805.821419099615,12816.4617470919,15865.460891638904,"[[577, -1, -1], [578, -1, -1], [579, -1, -1], [580, -1, -1], [581, -1, -1], [582, -1, -1], [583, -1, -1], [584, -1, -1], [585, -1, -1], [586, -1, -1], [587, -1, -1]]"
1752927168.0928,-97.99990397691727,12805.821144457785,12805.82138244555,12816.461749148408,15865.460891638904,"[[588, -1, -1], [589, -1, -1], [590, -1, -1], [591, -1, -1], [592, -1, -1], [593, -1, -1], [594, -1, -1], [595, -1, -1], [596, -1, -1], [597, -1, -1], [598, -1, -1]]"
1752927168.2048,-95.99990737438202,12805.821157859851,12805.82138244555,12816.461753289528,15865.460891638904,"[[599, -1, -1], [600, -1, -1], [601, -1, -1], [602, -1, -1], [603, -1, -1], [604, -1, -1], [605, -1, -1], [606, -1, -1], [607, -1, -1], [608, -1, -1], [609, -1, -1]]"
1752927168.3149,-93.99991077184677,12805.821157859851,12805.821390663123,12816.461753289528,15865.460891638904,"[[610, -1, -1], [611, -1, -1], [612, -1, -1], [613, -1, -1], [614, -1, -1], [615, -1, -1], [616, -1, -1], [617, -1, -1], [618, -1, -1], [619, -1, -1], [620, -1, -1]]"
1752927168.4248,-91.99991416931152,12805.821123075417,12805.821390663123,12816.461753580148,15865.460891638904,"[[621, -1, -1], [622, -1, -1], [623, -1, -1], [624, -1, -1], [625, -1, -1], [626, -1, -1], [627, -1, -1], [628, -1, -1], [629, -1, -1], [630, -1, -1], [631, -1, -1]]"
1752927168.5349,-89.99991756677628,12805.821123075417,12805.821383940143,12816.461753580148,15865.460891638904,"[[632, -1, -1], [633, -1, -1], [634, -1, -1], [635, -1, -1], [636, -1, -1], [637, -1, -1], [638, -1, -1], [639, 1, 331828], [639, -1, -1], [640, -1, -1], [641, -1, -1], [642, -1, -1]]"
1752927168.6458,-87.99992096424103,12805.820970297415,12805.821383940143,12816.461754485623,15865.460891638904,"[[643, -1, -1], [644, -1, -1], [645, -1, -1], [646, 1, 12575], [646, 1, 12766], [646, -1, -1], [647, -1, -1], [648, -1, -1], [649, -1, -1], [650, -1, -1], [651, -1, -1], [652, -1, -1], [653, -1, -1]]"
1752927168.7568,-85.99992436170578,12805.820970297415,12805.821383409519,12816.461754485623,15865.460891638904,"[[654, -1, -1], [655, -1, -1], [656, -1, -1], [657, -1, -1], [658, -1, -1], [659, -1, -1], [660, -1, -1], [661, -1, -1], [662, -1, -1], [663, -1, -1], [664, -1, -1]]"
1752927168.8668,-83.99992775917053,12805.820994441048,12805.821383409519,12816.461750193866,15865.460891638904,"[[665, 1, 10585], [665, -1, -1], [666, -1, -1], [667, 1, 10526], [667, 1, 10712], [667, -1, -1], [668, -1, -1], [669, -1, -1], [670, -1, -1], [671, -1, -1], [672, -1, -1], [673, 1, 12832], [673, 1, 13016], [673, -1, -1], [674, -1, -1], [675, -1, -1]]"
