time,wavenumber
1737189676.8778,12816.461870619612
1737189677.8875,12816.461874034949
1737189678.898,12816.46187410731
1737189679.905,12816.461871620695
1737189680.9125,12816.461870066074
1737189681.921,12816.461874256282
1737189682.9295,12816.461880701832
1737189683.9343,12816.461878811137
1737189684.9418,12816.461877806983
1737189685.9508,12816.46187770422
1737189686.9574,12816.461878425547
1737189687.9664,12816.46187176092
1737189688.9732,12816.46187517028
1737189689.9827,12816.461868791037
1737189690.9872,12816.461873247505
1737189691.9962,12816.461871247455
1737189693.0048,12816.461875210418
1737189694.0124,12816.461876977044
1737189695.0196,12816.461882937327
1737189696.0256,12816.461872881215
1737189697.0358,12816.461871150286
1737189698.0428,12816.461871689984
1737189699.0439,12816.461877949558
1737189700.0513,12816.461874501008
1737189701.0605,12816.461874512674
1737189702.071,12816.46187618563
1737189703.0784,12816.461875519444
1737189704.0863,12816.461878061664
1737189705.0957,12816.461877526248
1737189706.103,12816.461874767074
1737189707.1092,12816.461876786983
1737189708.1156,12816.461879356797
1737189709.1224,12816.461874416242
1737189710.1283,12816.46187462159
1737189711.1367,12816.461879143364
1737189712.1457,12816.46188145078
1737189713.155,12816.461874416558
1737189714.1608,12816.461883383748
1737189715.1687,12816.461867383914
1737189716.1753,12816.4618771951
1737189717.1843,12816.461879296541
1737189718.1927,12816.461878561853
1737189719.2013,12816.461882303529
1737189720.2078,12816.461874815112
1737189721.2161,12816.461878056789
1737189722.2251,12816.46187721534
1737189723.2351,12816.461872176491
1737189724.2434,12816.461877129934
1737189725.2506,12816.461882122112
1737189726.2589,12816.461880141303
1737189727.2669,12816.461881257104
1737189728.2739,12816.46187614021
1737189729.2828,12816.46187764062
1737189730.2905,12816.461880516854
1737189731.299,12816.461882937567
1737189732.3081,12816.461880313233
1737189733.3179,12816.461881149477
1737189734.3261,12816.461880388926
1737189735.3335,12816.46187862076
1737189736.3401,12816.461874034763
1737189737.3507,12816.461870057707
1737189738.3613,12816.46188061565
1737189739.3679,12816.46187586913
1737189740.3732,12816.46187459289
1737189741.3799,12816.461879131075
1737189742.3895,12816.461877665237
1737189743.3906,12816.461877051346
1737189744.4011,12816.461879735702
1737189745.4117,12816.461872757112
1737189746.4202,12816.461881123638
1737189747.4268,12816.461881461666
1737189748.4359,12816.461881419298
1737189749.4384,12816.461875571762
1737189750.4451,12816.461876560956
1737189751.446,12816.461877792317
1737189752.4528,12816.461876966392
1737189753.4625,12816.461873196813
1737189754.4685,12816.461869849203
1737189755.4758,12816.461873293116
1737189756.4848,12816.461881113291
1737189757.4954,12816.461872594802
1737189758.5034,12816.461878415386
1737189759.5096,12816.461881675234
1737189760.5198,12816.461872250296
